model_id,test_scale,instance_index,preference_id,ppo_j,ga_j,delta_j_percent
Train-L,Test-1,34,C100-R000,0.6531731951677012,0.6845639835677382,4.5855156206784
Train-L,Test-1,35,C000-R100,0.1272188884718819,0.7543893209321081,83.1361758521856
Train-L,Test-1,35,C025-R075,0.5540815757910296,0.7942228710473168,30.23600855760052
Train-L,Test-1,35,C050-R050,0.802228905374239,0.820574217844769,2.235667666809453
Train-L,Test-1,35,C075-R025,0.8232589333902677,0.8309870196908218,0.9299888105868882
Train-L,Test-1,35,C100-R000,0.8413998215368745,0.8413998215368745,0.0
Train-L,Test-1,36,C000-R100,0.14597275905990426,0.8087291951672401,81.95035372381753
Train-L,Test-1,36,C025-R075,0.5213546631920921,0.8505269340295137,38.70215717660026
Train-L,Test-1,36,C050-R050,0.8784509997751323,0.8784509997751323,0.0
Train-L,Test-1,36,C075-R025,0.89363908683923,0.89363908683923,0.0
Train-L,Test-1,36,C100-R000,0.8868776354358926,0.8868776354358926,0.0
Train-L,Test-1,37,C000-R100,0.3068765991061697,0.6816323744053586,54.979163163445364
Train-L,Test-1,37,C025-R075,0.6929138464349807,0.7519532692292484,7.851474979925699
Train-L,Test-1,37,C050-R050,0.8076102718109195,0.8076102718109195,0.0
Train-L,Test-1,37,C075-R025,0.8629709498740444,0.8629709498740444,0.0
Train-L,Test-1,37,C100-R000,0.9183316279371695,0.9183316279371695,0.0
Train-L,Test-1,38,C000-R100,0.3931516486045092,0.9854003797976069,60.102344522613315
Train-L,Test-1,38,C025-R075,0.8085846834738261,1.0,19.141531652617395
Train-L,Test-1,38,C050-R050,0.9667924450529192,1.0,3.320755494708083
Train-L,Test-1,38,C075-R025,0.9796396263893362,1.0,2.0360373610663784
Train-L,Test-1,38,C100-R000,1.0,1.0,0.0
Train-L,Test-1,39,C000-R100,0.20155998745045364,0.7774120931207046,74.07295445568036
Train-L,Test-1,39,C025-R075,0.5887337640377132,0.832811015386845,29.30763964928546
Train-L,Test-1,39,C050-R050,0.8219013530730793,0.8669290783450627,5.193934128722473
Train-L,Test-1,39,C075-R025,0.9010471413032807,0.9010471413032807,0.0
Train-L,Test-1,39,C100-R000,0.9144928047934299,0.9351652042614983,2.2105612328030806
Train-L,Test-1,40,C000-R100,0.24516624242042662,0.42729442124805117,42.62357984821343
Train-L,Test-1,40,C025-R075,0.49365552390914497,0.5461599139954937,9.613373069115784
Train-L,Test-1,40,C050-R050,0.6129839211632234,0.6526764289948837,6.081498590777419
Train-L,Test-1,40,C075-R025,0.7660787608122422,0.7868057419015452,2.6343200088004117
Train-L,Test-1,40,C100-R000,0.8734083761978245,0.8734083761978247,2.54227702614497e-14
Train-L,Test-1,41,C000-R100,0.22934907086795545,0.6821037937628235,66.37622119021623
Train-L,Test-1,41,C025-R075,0.5544635742629145,0.7591146152184539,26.959175446338374
Train-L,Test-1,41,C050-R050,0.7166147464578329,0.7774675811211362,7.8270575057999725
Train-L,Test-1,41,C075-R025,0.7652777992301347,0.7652777992301347,0.0
Train-L,Test-1,41,C100-R000,0.7530880173391331,0.7530880173391331,0.0
Train-L,Test-1,42,C000-R100,0.14620881572471098,0.6395473799647888,77.13870460500351
Train-L,Test-1,42,C025-R075,0.4602179304621135,0.686671406467091,32.97843391646021
Train-L,Test-1,42,C050-R050,0.7114795521793695,0.757138149426309,6.030418264029544
Train-L,Test-1,42,C075-R025,0.7384281310581002,0.7796737794882448,5.2901161377027455
Train-L,Test-1,42,C100-R000,0.7965507700149376,0.7965507700149376,0.0
Train-L,Test-1,43,C000-R100,0.16859849179758077,0.7430029146477118,77.30850196226751
Train-L,Test-1,43,C025-R075,0.5558264589314809,0.8242130208630402,32.5627665588842
Train-L,Test-1,43,C050-R050,0.7543077488851422,0.8666787426523826,12.965703234319607
Train-L,Test-1,43,C075-R025,0.8865205877182706,0.8909744771219685,0.4998896733927704
