method,model_id,instance_index,preference_id,weighted_objective_normalized,milp_j,milp_status,gap_percent
heuristic,Heuristic,5,C025-R075,1.0,0.5019014382341055,solver_status_1,
heuristic,Heuristic,5,C050-R050,1.0,0.693535019818866,optimal,44.188825570938725
heuristic,Heuristic,5,C075-R025,1.0,0.8386878067899609,optimal,19.233878435344625
heuristic,Heuristic,5,C100-R000,1.0,0.8633501713932467,optimal,15.827856776379884
heuristic,Heuristic,6,C000-R100,1.0,0.1247627450631328,solver_status_1,
heuristic,Heuristic,6,C025-R075,1.0,0.48518542909078033,solver_status_1,
heuristic,Heuristic,6,C050-R050,1.0,0.6569876456931518,solver_status_1,
heuristic,Heuristic,6,C075-R025,1.0,0.6976570081228661,optimal,43.33691030935469
heuristic,Heuristic,6,C100-R000,1.0,0.7349799890201427,optimal,36.05812606315656
heuristic,Heuristic,7,C000-R100,1.0,0.33219112864247474,solver_status_1,
heuristic,Heuristic,7,C025-R075,1.0,0.6288948045822522,solver_status_1,
heuristic,Heuristic,7,C050-R050,1.0,0.8275137018259521,solver_status_1,
heuristic,Heuristic,7,C075-R025,1.0,0.8906859306723127,optimal,12.273020776826934
heuristic,Heuristic,7,C100-R000,1.0,0.8588747291070759,optimal,16.43141497941664
heuristic,Heuristic,8,C000-R100,1.0,0.21942441072551225,solver_status_1,
heuristic,Heuristic,8,C025-R075,1.0,0.48563392172813913,solver_status_1,
heuristic,Heuristic,8,C050-R050,1.0,0.6867683888151797,solver_status_1,
heuristic,Heuristic,8,C075-R025,1.0,0.8518878359841793,optimal,17.386345685369236
heuristic,Heuristic,8,C100-R000,1.0,0.8423473772117761,optimal,18.715867948691688
heuristic,Heuristic,9,C000-R100,1.0,0.33401449904365726,solver_status_1,
heuristic,Heuristic,9,C025-R075,1.0,0.6095908757385589,solver_status_1,
heuristic,Heuristic,9,C050-R050,1.0,0.7233215209218677,solver_status_1,
heuristic,Heuristic,9,C075-R025,1.0,0.7069278979610387,optimal,41.45714193544438
heuristic,Heuristic,9,C100-R000,1.0,0.6666289783468365,optimal,50.008480351377074
heuristic,Heuristic,10,C000-R100,1.0,0.31163801243594424,solver_status_1,
heuristic,Heuristic,10,C025-R075,1.0,0.5708897210859929,solver_status_1,
heuristic,Heuristic,10,C050-R050,1.0,0.6422137938288612,optimal,55.71138608500249
heuristic,Heuristic,10,C075-R025,1.0,0.6636915129675021,optimal,50.672410368605306
heuristic,Heuristic,10,C100-R000,1.0,0.6619802890825117,optimal,51.06189965051304
heuristic,Heuristic,11,C000-R100,1.0,0.23810229214343126,solver_status_1,
heuristic,Heuristic,11,C025-R075,1.0,0.5007074108519733,solver_status_1,
heuristic,Heuristic,11,C050-R050,1.0,0.5947214212389684,optimal,68.14595275830568
heuristic,Heuristic,11,C075-R025,1.0,0.6516029806959738,optimal,53.467683486024754
heuristic,Heuristic,11,C100-R000,1.0,0.7016362812932843,optimal,42.52398666681827
heuristic,Heuristic,12,C000-R100,1.0,0.19386469339082596,solver_status_1,
heuristic,Heuristic,12,C025-R075,1.0,0.38597543494946734,solver_status_1,
heuristic,Heuristic,12,C050-R050,1.0,0.5138560179409567,solver_status_1,
heuristic,Heuristic,12,C075-R025,1.0,0.5653547778254263,optimal,76.88008295364332
heuristic,Heuristic,12,C100-R000,1.0,0.6059890197313872,optimal,65.0194916804373
heuristic,Heuristic,13,C000-R100,1.0,0.31454710715507167,solver_status_1,
heuristic,Heuristic,13,C025-R075,1.0,0.6866979053098687,solver_status_1,
heuristic,Heuristic,13,C050-R050,1.0,0.7955825339883231,solver_status_1,
heuristic,Heuristic,13,C075-R025,1.0,0.8097977706818785,optimal,23.487620762152066
heuristic,Heuristic,13,C100-R000,1.0,0.8226122732055033,optimal,21.56395334381086
heuristic,Heuristic,14,C000-R100,1.0,0.25737697988741026,solver_status_1,
heuristic,Heuristic,14,C025-R075,1.0,0.6854007837372986,solver_status_1,
heuristic,Heuristic,14,C050-R050,1.0,0.9540318943474349,optimal,4.818298625540993
heuristic,Heuristic,14,C075-R025,1.0,1.0,optimal,0.0
heuristic,Heuristic,14,C100-R000,1.0,0.9999999999999332,optimal,6.683542608243889e-12
heuristic,Heuristic,15,C000-R100,1.0,0.247805410572474,solver_status_1,
